,,,,
,branchName,branchCode,subBranchName,subBranchCode
,Сонгинохайрхан,34,20-р хороо,20
,Сонгинохайрхан,34,21-р хороо,21
,Чингэлтэй,35,1-р хороо,1
,Чингэлтэй,35,2-р хороо,2
,Чингэлтэй,35,3-р хороо,3
,Чингэлтэй,35,4-р хороо,4
,Чингэлтэй,35,5-р хороо,5
,Чингэлтэй,35,6-р хороо,6
,Чингэлтэй,35,7-р хороо,7
,Чингэлтэй,35,8-р хороо,8
,Чингэлтэй,35,9-р хороо,9
,Чингэлтэй,35,10-р хороо,10
,Архангай,1,Их тамир,1
,Архангай,1,Чулуут,2
,Архангай,1,Хангай,3
,Архангай,1,Тариат,4
,Архангай,1,Өндөр-Улаан,5
,Архангай,1,Эрдэнэмандал,6
,Архангай,1,Жаргалант,7
,Архангай,1,Цэцэрлэг,8
,Архангай,1,Хайрхан,9
,Архангай,1,Батцэнгэл,10
,Архангай,1,Өлзийт,11
,Архангай,1,Өгийнуур,12
,Архангай,1,Хашаат,13
,Архангай,1,Хотонт,14
,Архангай,1,Цэнхэр,15
,Архангай,1,Төвшрүүлэх,16
,Архангай,1,Булган,17
,Архангай,1,Цахир,19
,Архангай,1,Эрдэнэбулган,20
,Баян-Өлгий,2,Алтай,1
,Баян-Өлгий,2,Алтанцөгц,2
,Баян-Өлгий,2,Баяннуур,3
,Баян-Өлгий,2,Бугат,4
,Баян-Өлгий,2,Булган,5
,Баян-Өлгий,2,Буянт,6
,Баян-Өлгий,2,Дэлүүн,7
,Баян-Өлгий,2,Ногооннуур,8
,Баян-Өлгий,2,Сагсай,9
,Баян-Өлгий,2,Толбо,10
,Баян-Өлгий,2,Улаанхус,11
,Баян-Өлгий,2,Цэнгэл,12
,Баян-Өлгий,2,Өлгий,14
,Баянхонгор,3,Баацагаан,1
,Баянхонгор,3,Баянбулаг,2
,Баянхонгор,3,Баянговь,3
,Баянхонгор,3,Баянлиг,4
,Баянхонгор,3,Баян-Овоо,5
,Баянхонгор,3,Баян-Өндөр,6
,Баянхонгор,3,Баянцагаан,7
,Баянхонгор,3,Богд,8
,Дорноговь,6,Сайхандулаан,8
,Дорноговь,6,Улаанбадрах,9
,Дорноговь,6,Хатанбулаг,10
,Дорноговь,6,Хөвсгөл,11
,Дорноговь,6,Эрдэнэ,12
,Дорноговь,6,Замын-Үүд,14
,Дорнод,7,Баян-Уул,1
,Дорноговь,6,Сайншанд,17
,Дорнод,7,Баяндун,2
,Дорнод,7,Баянтүмэн,3
,Чингэлтэй,35,11-р хороо,11
,Чингэлтэй,35,12-р хороо,12
,Чингэлтэй,35,13-р хороо,13
,Чингэлтэй,35,14-р хороо,14
,Чингэлтэй,35,15-р хороо,15
,Чингэлтэй,35,16-р хороо,16
,Чингэлтэй,35,17-р хороо,17
,Чингэлтэй,35,18-р хороо,18
,Чингэлтэй,35,19-р хороо,19
,Чингэлтэй,35,20-р хороо,20
,Говьсүмбэр,32,Сүмбэр,1
,Говьсүмбэр,32,Баянтал,2
,Говьсүмбэр,32,Шивээговь,3
,Багануур,27,1-р хороо,1
,Багануур,27,2-р хороо,2
,Багануур,27,3-р хороо,3
,Багануур,27,4-р хороо,4
,Багануур,27,5-р хороо,5
,Багануур,27,6-р хороо,6
,Багануур,27,7-р хороо,7
,Багануур,27,8-р хороо,8
,Багануур,27,9-р хороо ,9
,Багануур,27,10-р хороо,10
,Багахангай,28,1-р хороо,1
,Баянгол,26,21-р хороо,21
,Баянгол,26,22-р хороо,22
,Баянгол,26,23-р хороо,23
,Сонгинохайрхан,34,22-р хороо,22
,Сонгинохайрхан,34,23-р хороо,23
,Сонгинохайрхан,34,24-р хороо,24
,Сонгинохайрхан,34,25-р хороо,25
,Багахангай,28,2-р хороо,2
,Багахангай,28,3-р хороо,3
,Багахангай,28,4-р хороо,4
,Багахангай,28,5-р хороо ,5
,Багахангай,28,6-р хороо,6
,Багахангай,28,7-р хороо,7
,Багахангай,28,8-р хороо,8
,Багахангай,28,9-р хороо,9
,Багахангай,28,10-р хороо,10
,Налайх,29,1-р хороо,1
,Налайх,29,2-р хороо,2
,Налайх,29,3-р хороо,3
,Налайх,29,4-р хороо,4
,Налайх,29,5-р хороо,5
,Налайх,29,6-р хороо,6
,Налайх,29,7-р хороо,7
,Налайх,29,8-р хороо,8
,Налайх,29,9-р хороо,9
,Налайх,29,10-р хороо,10
,Дорнод,7,Гурванзагал,4
,Дорнод,7,Дашбалбар,5
,Дорнод,7,Матад,6
,Дорнод,7,Хөлөнбуйр,7
,Дорнод,7,Булган,8
,Дорнод,7,Сэргэлэн,9
,Дорнод,7,Халхгол,11
,Дорнод,7,Цагаан-Овоо,12
,Дорнод,7,Чулуунхороот,13
,Дорнод,7,Чойбалсан,14
,Дорнод,7,Хэрлэн,15
,Дундговь,8,Адаацаг,1
,Дундговь,8,Баянжаргалан,2
,Дундговь,8,Говь-Угтаал,3
,Дундговь,8,Дэлгэрцогт,4
,Дундговь,8,Дэрэн,5
,Дундговь,8,Гурвансайхан,6
,Дундговь,8,Дэлгэрхангай,7
,Дундговь,8,Луус,8
,Дундговь,8,Сайнцагаан,10
,Дундговь,8,Сайхан-Овоо,11
,Дундговь,8,Өлзийт,12
,Дундговь,8,Өндөршил,13
,Дундговь,8,Хулд,14
,Дундговь,8,Цагаандэлгэр,15
,Дундговь,8,Эрдэнэдалай,16
,Завхан,9,Алдархаан,1
,Завхан,9,Асгат,2
,Завхан,9,Баянтэс,3
,Завхан,9,Баянхайрхан,4
,Завхан,9,Дөрвөлжин,6
,Завхан,9,Идэр,7
,Завхан,9,Их-Уул,8
,Завхан,9,Нөмрөг,9
,Завхан,9,Отгон,10
,Завхан,9,Сантмаргац,11
,Завхан,9,Сонгино,12
,Завхан,9,Түдэвтэй,13
,Завхан,9,Тэс,14
,Завхан,9,Тэлмэн,15
,Завхан,9,Улиастай,16
,Завхан,9,Цагаанхайрхан,17
,Завхан,9,Цагаанчулуут,18
,Завхан,9,Цэцэн-Уул,19
,Завхан,9,Шилүүстэй,20
,Завхан,9,Эрдэнэхайрхан,21
,Завхан,9,Яруу,22
,Сүхбаатар,12,Уулбаян,10
,Сүхбаатар,12,Халзан,11
,Сүхбаатар,12,Эрдэнэцагаан,12
,Сүхбаатар,12,Баруун-Урт,14
,Сэлэнгэ,13,Сүхбаатар,1
,Сэлэнгэ,13,Алтанбулаг,2
,Сэлэнгэ,13,Цагааннуур,3
,Сэлэнгэ,13,Орхон,4
,Сэлэнгэ,13,Шаамар,5
,Сэлэнгэ,13,Баруунбүрэн,7
,Сэлэнгэ,13,Сант,8
,Сэлэнгэ,13,Орхонтуул,9
,Сэлэнгэ,13,Ерөө,10
,Сэлэнгэ,13,Зүүнбүрэн,11
,Сэлэнгэ,13,Баянгол,12
,Сэлэнгэ,13,Хушаат,13
,Сэлэнгэ,13,Мандал,14
,Сэлэнгэ,13,Жавхлант,15
,Сэлэнгэ,13,Сайхан,16
,Сэлэнгэ,13,Түшиг,19
,Сэлэнгэ,13,Хүдэр,21
,Төв,14,Алтанбулаг,1
,Төв,14,Аргалант,2
,Төв,14,Архуст,3
,Төв,14,Батсүмбэр,4
,Төв,14,Баян,5
,Төв,14,Баян-Өнжүүл,6
,Төв,14,Баяндэлгэр,7
,Төв,14,Баянжаргалан,8
,Төв,14,Баянхангай,9
,Төв,14,Баянчандмань,10
,Төв,14,Баянцагаан,11
,Төв,14,Баянцогт,12
,Төв,14,Борнуур,13
,Төв,14,Бүрэн,14
,Төв,14,Дэлгэрхаан,15
,Төв,14,Жаргалант,16
,Төв,14,Заамар,17
,Төв,14,Лүн,18
,Төв,14,Мөнгөнморьт,19
,Төв,14,Өндөрширээт,20
,Төв,14,Сэргэлэн,21
,Төв,14,Сүмбэр,22
,Төв,14,Угтаалцайдам,23
,Төв,14,Цээл,24
,Төв,14,Эрдэнэ,25
,Төв,14,Эрдэнэсант,26
,Төв,14,Зуунмод,27
,Увс,15,Баруунтуруун,1
,Увс,15,Бөхмөрөн,2
,Увс,15,Давст,3
,Увс,15,Завхан,4
,Увс,15,Зүүнговь,5
,Баянзүрх,24,21-р хороо,21
,Баянзүрх,24,22-р хороо,22
,Баянзүрх,24,23-р хороо,23
,Баянзүрх,24,24-р хороо,24
,Сүхбаатар дүүрэг,25,21-р хороо,21
,Баянзүрх,24,25-р хороо,25
,Баянзүрх,24,26-р хороо,26
,Баянзүрх,24,27-р хороо,27
,Баянзүрх,24,28-р хороо,28
,Сонгинохайрхан,34,28-р хороо,28
,Сонгинохайрхан,34,29-р хороо,29
,Сонгинохайрхан,34,30-р хороо,30
,Сонгинохайрхан,34,31-р хороо,31
,Сонгинохайрхан,34,32-р хороо,32
,Сонгинохайрхан,34,26-р хороо,26
,Сонгинохайрхан,34,27-р хороо,27
,Увс,15,Зүүнхангай,6
,Увс,15,Малчин,7
,Увс,15,Наранбулаг,8
,Увс,15,Өлгий,9
,Увс,15,Өмнөговь,10
,Увс,15,Өндөрхангай,11
,Увс,15,Сагил,12
,Увс,15,Тариалан,13
,Увс,15,Түргэн,14
,Увс,15,Тэс,15
,Увс,15,Ховд,17
,Увс,15,Хяргас,18
,Увс,15,Цагаанхайрхан,19
,Увс,15,Улаангом,20
,Ховд,16,Алтай,1
,Ховд,16,Булган,2
,Ховд,16,Буянт,3
,Ховд,16,Дарви,4
,Ховд,16,Дуут,5
,Ховд,16,Дөргөн,6
,Ховд,16,Зэрэг,7
,Ховд,16,Манхан,8
,Ховд,16,Мөст,9
,Ховд,16,Мянгад,10
,Ховд,16,Мөнххайрхан,11
,Ховд,16,Үенч,12
,Ховд,16,Ховд,13
,Ховд,16,Цэцэг,14
,Ховд,16,Чандмань,15
,Ховд,16,Эрдэнэбүрэн,16
,Ховд,16,Жаргалант,17
,Баянхонгор,3,Бөмбөгөр,9
,Баянхонгор,3,Бууцагаан,10
,Баянхонгор,3,Галуут,11
,Баянхонгор,3,Гурванбулаг,12
,Баянхонгор,3,Жаргалант,13
,Баянхонгор,3,Жинст,14
,Баянхонгор,3,Заг,15
,Баянхонгор,3,Өлзийт,16
,Баянхонгор,3,Хүрээмарал,17
,Баянхонгор,3,Шинэжинст,18
,Баянхонгор,3,Эрдэнэцогт,19
,Баянхонгор,3,Баянхонгор,20
,Булган,4,Сайхан,1
,Булган,4,Тэшиг,2
,Булган,4,Хутаг-Өндөр,3
,Булган,4,Баян-Агт,4
,Булган,4,Баяннуур,5
,Булган,4,Бугат,6
,Булган,4,Бүрэгхангай,7
,Булган,4,Гурван Булаг,8
,Булган,4,Дашинчилэн,9
,Булган,4,Могод,10
,Булган,4,Орхон,11
,Булган,4,Сэлэнгэ,12
,Булган,4,Хангал,13
,Булган,4,Рашаант,14
,Булган,4,Хишиг-Өндөр,15
,Булган,4,Булган,16
,Говь-Алтай,5,Алтай,1
,Говь-Алтай,5,Баян-Уул,3
,Говь-Алтай,5,Бигэр,4
,Говь-Алтай,5,Бугат,5
,Говь-Алтай,5,Жаргалан,6
,Говь-Алтай,5,Дарив,7
,Говь-Алтай,5,Дэлгэр,8
,Говь-Алтай,5,Тайшир,9
,Говь-Алтай,5,Тонхил,10
,Говь-Алтай,5,Төгрөг,11
,Говь-Алтай,5,Халиун,12
,Говь-Алтай,5,Хөхморьт,13
,Говь-Алтай,5,Цогт,14
,Говь-Алтай,5,Цээл,15
,Говь-Алтай,5,Чандмань,16
,Говь-Алтай,5,Шарга,17
,Говь-Алтай,5,Эрдэнэ,18
,Дорноговь,6,Айраг,1
,Дорноговь,6,Алтанширээ,2
,Дорноговь,6,Даланжаргалан,3
,Дорноговь,6,Дэлгэрэх,4
,Дорноговь,6,Иххэт,5
,Дорноговь,6,Мандах,6
,Дорноговь,6,Өргөн,7
,Хөвсгөл,17,Алаг-Эрдэнэ,1
,Хөвсгөл,17,Арбулаг,2
,Хөвсгөл,17,Баянзүрх,3
,Хөвсгөл,17,Бүрэнтогтох,4
,Хөвсгөл,17,Галт,5
,Хөвсгөл,17,Жаргалант,6
,Хөвсгөл,17,Их-Уул,7
,Хөвсгөл,17,Рашаант,8
,Хөвсгөл,17,Рэнчинлхүмбэ,9
,Хөвсгөл,17,Тариалан,10
,Хөвсгөл,17,Тосонцэнгэл,11
,Хөвсгөл,17,Төмөрбулаг,12
,Хөвсгөл,17,Түнэл,13
,Хөвсгөл,17,Улаан-Уул,14
,Хөвсгөл,17,Ханх,15
,Хөвсгөл,17,Цагаан-Уул,17
,Хөвсгөл,17,Цагаан-Үүр,18
,Хөвсгөл,17,Цагааннуур,19
,Хөвсгөл,17,Цэцэрлэг,20
,Хөвсгөл,17,Чандмань-Өндөр,21
,Хөвсгөл,17,Шинэ-Идэр,22
,Хөвсгөл,17,Эрдэнэбулган,23
,Хөвсгөл,17,Мөрөн,24
,Хэнтий,18,Галшар,1
,Хэнтий,18,Баянхутаг,2
,Хэнтий,18,Баянмөнх,3
,Хэнтий,18,Дархан,4
,Хэнтий,18,Дэлгэрхаан,5
,Хэнтий,18,Жаргалтхаан,6
,Хэнтий,18,Цэнхэрмандал,7
,Хэнтий,18,Өмнөдэлгэр,8
,Хэнтий,18,Батширээт,9
,Хэнтий,18,Биндэр,10
,Хэнтий,18,Баян-Адарга,11
,Хэнтий,18,Дадал,12
,Хэнтий,18,Норовлин,13
,Хэнтий,18,Батноров,14
,Хэнтий,18,Баян-Овоо,15
,Хэнтий,18,Мөрөн,16
,Хэнтий,18,Хэрлэн,17
,Дархан-Уул,19,Дархан,1
,Дархан-Уул,19,Шарын гол,2
,Дархан-Уул,19,Хонгор,3
,Дархан-Уул,19,Орхон,4
