,,,,,,,,
,Create хэсгийг QPay-ээс үүсгэж өгсөн Invoice code-ийн дагуу дэлгэрэнгүй нэхэмжлэх үүсгэхэд ашиглана.,,,,,,,
,АНХААРУУЛГА! sender_invoice_no дахин давтагдашгүй байх ёстой ба ижил sender_invoice_no-гоор олон нэхэмжлэх үүсгэж болохгүй,,,,,,,
,,,,,,,,
,Request,,,,,,,
,Д/д,Нэр,Required,Утга,Урт ихдээ,Тайлбар,Жишээ,
,1,invoice_code,Yes,[.*]/string,45,QPay-ээс үүсгэж өгсөн нэхэмжлэхийн код,TEST_INVOICE,
,2,sender_invoice_no,Yes,[.*]/string,45,Байгууллагаас үүсгэх давтагдашгүй нэхэмжлэлийн дугаар /тусгай тэмдэгт ашиглаж болохгүй/,12345678,
,3,sender_branch_code,No,[.*]/string,45,Байгууллагын салбарын код,BRANCH1,
,4,sender_branch_data,No,object,45,Байгууллагын салбарын мэдээлэл,null,
,5,sender_staff_data,No,object,45,Байгууллагын ажилтаны мэдээлэл,,
,5,sender_staff_code,No,[.*]/string,100,Байгууллагын ажилтаны давтагдашгүй код,online,
,6,invoice_receiver_code,Yes,[.*]/string,45,Байгууллагын нэхэмжлэхийг хүлээн авч буй харилцагчийн дахин давтагдашгүй дугаар,83,
,7,invoice_receiver_data,Yes,object,,Нэхэмжлэх хүлээн авагчийн мэдээлэл /Хэрэгэлэгчийн мэдээлэл байдаг байх боломжит талбарыг бөглөх/,"   {					
    ""register"":""UZ96021105"",					
    ""name"":""GZ"",					
    ""email"":""info@test.mn"",					
    ""phone"":""88614450""					
    },					
",
,8,invoice_description,Yes,[.*]/string,255,Нэхэмжлэлийн утга /тусгай тэмдэгт ашиглаж болохгүй/,Order No1311 200.00,
,9,enable_expiry,No,boolean,20,"Нэхэмжлэхийн хугацаа дуусах эсэх 
true: Нэхэмжлэхийн хугацаа дуусна
false: Нэхэмжлэхийн хугацаа дуусахгүй /QPay-д хандан хэр хугацааны дараа нэхэмжлэх цуцлагдахыг тохируулуулна/",false,
,14,allow_partial,No,array,20,"Хэсэгчлэн төлбөр төлөхийн зөвшөөрсөн эсэх 
true: Хувааж төлж болно
false: Хувааж төлж болохгүй",false,
,15,minimum_amount,No,decimal,20,Төлөх хамгийн бага дүн,null,
,16,allow_exceed,No,boolean,20,"Төлбөрийн дүнг өөрчилж болох эсэх
true: Өөрчилж болно
false: Өөрчилж болохгүй",false,
,17,maximum_amount,No,decimal,20,Төлөх хамгийн их дүн,null,
,18,amount,No,decimal,20,Мөнгөн дүн,200,
,19,callback_url,Yes,[.*]/string,255,Төлбөр төлсөгдсөн эсэх талаар мэдэгдэл авах URL,https://bd5492c3ee85.ngrok.io/payments,
,20,sender_terminal_code,No,[.*]/string,45,Картын гүйлгээ хүлээн авах боломжтой банкнаас үүсгэж өгсөн терминал код,null,
,21,sender_terminal_data,No,[.*]/string,100,Терминал кодын мэдээлэл,null,
